speaker,dominant_emotion,emotion_score_mean,emotion_transitions,emotion_volatility,total_segments
9,joy,-0.273,138,1.387,227
6,anger,-0.786,4,1.41,7
13,anger,-2,0,0,1
11,anger,-0.5,1,1.732,4
18,joy,1,0,0.0,4
4,joy,-0.2,2,1.643,5
7,joy,-0.286,6,1.604,7
17,joy,-0.357,8,1.447,14
5,joy,0.167,3,1.329,6
8,joy,-0.25,7,1.545,12
10,joy,0.167,2,1.443,3
1,joy,1,0,0.0,2
15,joy,0.5,2,1.225,6
12,anger,-2,0,0.0,5
14,joy,0.5,2,1.0,4
3,anger,-1.5,2,1.225,6
2,joy,0.333,1,1.155,3
16,anger,-0.714,4,1.604,7
